VIN (1-10),County,City,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1S15E,King,Seatac,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,33.0,206712397,POINT (-122.271716 47.452837),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028802.0
5YJSA1CG1D,King,Bellevue,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,41.0,279573038,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902.0
KNDJP3AE1G,Jefferson,Port Townsend,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,24.0,198510623,POINT (-122.7862046 48.1129794),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950502.0
5YJRE1A11A,King,Seattle,WA,2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,245.0,110950.0,37.0,231914133,POINT (-122.3016563 47.5858977),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009500.0
KNDJP3AE8G,Pierce,Puyallup,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,25.0,206827946,POINT (-122.321505 47.1435291),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053071206.0
KNDJX3AE9G,King,Kent,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,47.0,266583614,POINT (-122.201564 47.402358),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029307.0
2C4RC1H74K,Clark,Camas,WA,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,39995.0,18.0,141948404,POINT (-122.4220033 45.6092439),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040608.0
5YJSA1S16E,King,Seattle,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,43.0,196582760,POINT (-122.3499053 47.673887),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005100.0
5YJSA1H19E,King,Federal Way,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,30.0,226414737,POINT (-122.3581348 47.3097552),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53033030306.0
5YJSA1H1XE,King,Kirkland,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,48.0,154049612,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022702.0
5YJSA1CN6D,Thurston,Tumwater,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,22.0,218231058,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010802.0
5YJRE11B78,Kitsap,Kingston,WA,2008,TESLA,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,98950.0,23.0,241786842,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090101.0
5YJSA1H16E,King,Seattle,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,43.0,171700161,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300.0
5YJSA1DN9D,King,Seattle,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,37.0,194619421,POINT (-122.2753318 47.5411053),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033011102.0
5YJSA1H17E,Yakima,Sunnyside,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,15.0,244702237,POINT (-120.0061707 46.3264238),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002003.0
5YJSA1H16E,Kitsap,Bremerton,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,35.0,211038320,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080900.0
KNDJX3AE2G,King,Seattle,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,46.0,134916519,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002100.0
5YJSA1CP4D,King,Seattle,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,34.0,473468677,POINT (-122.395519 47.572137),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009701.0
5YJSA1CN6C,King,Seattle,WA,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265.0,59900.0,43.0,135424278,POINT (-122.3212726 47.6296532),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006100.0
KNDJX3AE2G,King,Seattle,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,36.0,349184853,POINT (-122.394937 47.649547),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005600.0
5YJSA1CN7D,King,Seattle,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,34.0,328334023,POINT (-122.395519 47.572137),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009701.0
KNDJX3AE6H,King,Bellevue,WA,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,32250.0,41.0,105225585,POINT (-122.144149 47.560742),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902.0
